"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","2","","","","OrderApiTests","TestUpdateOrder","TestUpdateOrder",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","1","","","","AddressControllerTests","TestUpdateAddress","TestUpdateAddress",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","5","","Products API Tests","UpdateProduct","ProductsApiTests","TestUpdateProduct","TestUpdateProduct",""
"passed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","10","","","","AddressControllerTests","TestCreateAddress","TestCreateAddress",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","4","","Products API Tests","GetAllProducts","ProductsApiTests","TestGetAllProducts","TestGetAllProducts",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","114","","","","AddressControllerTests","TestDeleteAddress","TestDeleteAddress",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","5","","","","AddressControllerTests","TestGetAddressById","TestGetAddressById",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","9","","Products API Tests","DeleteProduct","ProductsApiTests","TestDeleteProduct","TestDeleteProduct",""
"passed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","2","","Products API Tests","CreateProduct","ProductsApiTests","TestCreateProduct","TestCreateProduct",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","3","","","","OrderApiTests","TestGetOrderById","TestGetOrderById",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","2","","","","OrderApiTests","TestGetAllOrders","TestGetAllOrders",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","11","","Products API Tests","GetProductById","ProductsApiTests","TestGetProductById","TestGetProductById",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","2","","","","AddressControllerTests","TestGetAllAddresses","TestGetAllAddresses",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","3","","","","OrderApiTests","TestDeleteOrder","TestDeleteOrder",""
"failed","Wed Dec 27 17:50:10 MSK 2023","Wed Dec 27 17:50:10 MSK 2023","7","","","","OrderApiTests","TestCreateOrder","TestCreateOrder",""
